Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,0.040757571,1.726441267,Muara Nauli," IDR 5,000.00 ",29,28,29,30,29,29,30,31
northeast,0.036279094,1.726846135,Pemandian Air Panas Lehu," IDR 5,000.00 ",24,25,26,26,25,25,26,27
northeast,0.03543474,1.727509388,Air Panas Hutabarat,IDR -,24,25,26,26,25,25,26,27
northeast,0.034937503,1.727304688,Pemandian Air Soda," IDR 7,000.00 ",24,25,26,26,25,25,26,27
northeast,0.03544994,1.727544543,Thermal Baths U.S.K Hineni," IDR 8,000.00 ",23,23,24,25,25,25,24,24
northeast,0.040674517,1.725829221,Sipinsur Park Geosite and Pine Forest,IDR -,23,23,24,25,25,25,24,24
northeast,0.036266385,1.726945295,Air Panas Sipoholon," IDR 5,000.00 ",22,23,24,24,23,23,23,23
northeast,0.035247708,1.72792406,Salib Kasih," IDR 5,000.00 ",19,23,24,24,23,23,23,24
northeast,0.035170559,1.727953509,Salib Kasih Tarutung," IDR 4,000.00 ",19,23,24,24,23,23,23,24
northeast,0.030327507,1.725168585,PLTA Sipansihaporas,IDR -,23,25,26,27,27,26,26,26
northeast,0.040585945,1.725215553,Aek Sipangolu Bakkara," IDR 2,000.00 ",23,25,26,27,27,26,26,26
northeast,0.029450718,1.726957922,Air Terjun Sipitu-pitu," IDR 5,000.00 ",23,25,26,27,27,26,26,26
northeast,0.04085552,1.728126487,Pakkodian,IDR -,22,24,26,26,26,26,26,26
northeast,0.030210015,1.724871241,Air Terjun Sihobuk,IDR -,22,24,26,26,26,26,26,26
northeast,0.040815118,1.726259031,Pasar Muara," IDR 5,000.00 ",22,24,26,26,26,26,26,26
northeast,0.035166367,1.72795438,Cross of Love," IDR 10,000.00 ",22,23,24,24,23,23,24,24
northeast,0.036241127,1.726918079,Lokasi Wisata Pemandian Air Panas Sipoholon," IDR 5,000.00 ",22,23,24,24,23,23,24,24
northeast,0.040424268,1.727554401,Bukit Doa," IDR 20,000.00 ",21,21,22,23,23,22,22,22
northeast,0.040851939,1.726894265,Tugu Toga Aritonang," IDR 5,000.00 ",23,25,26,27,27,26,26,26
northeast,0.035353314,1.72724355,SOPO PARTUNGKOAN,IDR -,24,25,26,26,25,25,26,27
northeast,0.040757571,1.726441267,Muara Nauli," IDR 5,000.00 ",29,28,29,30,29,29,30,31
northeast,0.036279094,1.726846135,Pemandian Air Panas Lehu," IDR 5,000.00 ",24,25,26,26,25,25,26,27
northeast,0.03543474,1.727509388,Air Panas Hutabarat,IDR -,24,25,26,26,25,25,26,27
northeast,0.034937503,1.727304688,Pemandian Air Soda," IDR 7,000.00 ",24,25,26,26,25,25,26,27
northeast,0.03544994,1.727544543,Thermal Baths U.S.K Hineni," IDR 8,000.00 ",23,23,24,25,25,25,24,24
northeast,0.040674517,1.725829221,Sipinsur Park Geosite and Pine Forest,IDR -,23,23,24,25,25,25,24,24
northeast,0.036266385,1.726945295,Air Panas Sipoholon," IDR 5,000.00 ",22,23,24,24,23,23,23,23
northeast,0.035247708,1.72792406,Salib Kasih," IDR 5,000.00 ",19,23,24,24,23,23,23,24
northeast,0.035170559,1.727953509,Salib Kasih Tarutung," IDR 4,000.00 ",19,23,24,24,23,23,23,24
northeast,0.030327507,1.725168585,PLTA Sipansihaporas,IDR -,23,25,26,27,27,26,26,26
northeast,0.040585945,1.725215553,Aek Sipangolu Bakkara," IDR 2,000.00 ",23,25,26,27,27,26,26,26
northeast,0.029450718,1.726957922,Air Terjun Sipitu-pitu," IDR 5,000.00 ",23,25,26,27,27,26,26,26
northeast,0.04085552,1.728126487,Pakkodian,IDR -,22,24,26,26,26,26,26,26
northeast,0.030210015,1.724871241,Air Terjun Sihobuk,IDR -,22,24,26,26,26,26,26,26
northeast,0.040815118,1.726259031,Pasar Muara," IDR 5,000.00 ",22,24,26,26,26,26,26,26
